@relation 'whatever-weka.filters.unsupervised.attribute.Remove-R1,7-8,13-14-weka.filters.unsupervised.attribute.Remove-R1,8'

@attribute w2v_max_sim numeric
@attribute quad_ppl numeric
@attribute pos-quad_ppl numeric
@attribute pos-tri_ppl numeric
@attribute label {0,1}
@attribute w2v_cont_avg numeric
@attribute tri_ppl numeric

@data
0.254929,1.880408,-1.009411,-1.293857,1,0.346975,2.06432
0.209648,-0.025707,-0.061251,-0.333407,0,-0.867541,-0.341613
0.874318,0.608847,-0.440515,-0.28975,1,1.697637,0.727823
0.612679,-0.363216,-0.861919,-0.70449,1,0.92919,-0.113001
1.329528,-0.304053,-0.314094,0.037676,1,-0.118565,-0.089157
-0.086695,0.489294,1.666506,2.002232,1,1.195314,1.005018
0.283343,-0.601711,0.612996,0.714356,1,1.264735,-0.322239
0.002494,-1.692409,0.549785,0.954469,1,0.706022,-1.26649
-0.44485,-0.590062,0.149451,-0.136951,0,-0.601072,-0.735945
0.194153,-0.016817,1.224032,1.281895,0,-0.789089,-0.164267
0.019285,-0.520782,-0.693357,-0.093295,1,0.569124,-0.21762
-1.127822,0.022421,-1.325464,-1.2502,1,0.081924,0.136772
-0.36374,0.685178,0.718347,0.605214,0,-0.690736,0.412775
0.022553,1.602982,1.645436,1.783948,1,0.656439,1.664623
-0.392516,-0.129933,-0.335164,-0.420721,0,-0.703662,-0.311509
0.169979,3.018315,-0.92513,-0.966431,1,0.202672,3.194262
-0.367272,-0.53611,-1.199043,-1.272029,0,-0.208408,-0.819103
0.354031,-0.63819,-2.273623,-2.101508,1,0.494399,-0.364861
3.452226,1.628732,-0.861919,-0.595348,1,1.296018,2.11648
-0.398314,-0.511586,2.087911,1.914919,0,-1.588535,-0.768135
-0.190947,0.08465,-0.588006,-0.57352,1,0.220046,0.317396
-0.433074,0.743728,-0.735498,-0.660833,1,0.685852,1.065822
-0.571406,-1.078393,-0.145532,-0.28975,0,-0.63424,-1.200023
0.337756,-0.075061,0.612996,0.888984,1,0.329796,0.2247
0.601159,-1.064905,1.476874,1.76212,1,0.715514,-0.817315
-0.076665,-0.262975,0.08624,-0.093295,0,-0.276721,-0.407484
-0.617553,-1.073488,-1.620447,-1.512141,0,-0.832673,-1.290036
1.321758,-0.543773,0.402294,0.627043,1,0.784499,-0.115684
-0.682998,0.179987,0.00196,-0.15878,0,-0.5526,-0.297798
1.34654,0.243749,0.0441,0.648871,1,1.692603,0.618436
-0.643284,0.38752,1.413664,1.609321,1,0.666075,0.633637
-0.109303,-0.487062,-0.250883,-0.005981,1,1.121508,-0.171123
-0.858992,-0.497178,-0.293023,-0.333407,0,-1.274014,-0.634307
0.099916,-0.969568,-0.082321,0.103161,1,0.736298,-0.63222
2.603582,1.116491,-0.777638,-0.813632,1,1.920192,1.405013
-0.143122,-0.104797,0.865838,1.085439,1,0.270091,0.109351
0.561611,2.197379,0.612996,0.627043,1,1.573519,2.338236
-0.228277,-1.00053,0.06517,0.25596,1,1.786115,-0.757405
0.289858,-0.140663,2.551455,1.805777,0,-0.538516,-0.242359
-0.581546,0.061353,1.392594,1.260067,0,-0.78799,-0.198842
-0.04019,-0.57688,0.254802,0.976297,1,0.720339,-0.30048
-0.995394,0.716752,0.128381,-0.180608,0,-0.475618,0.208008
0.361443,-0.711148,-1.093692,-0.944602,1,1.11428,-0.198544
-0.193307,-0.756518,-0.082321,-0.377064,0,-0.624634,-0.898685
0.203361,0.559186,-0.335164,-0.267922,0,-1.131731,0.020529
-0.447801,-0.289645,0.08624,0.168646,0,-1.21845,-0.541014
-0.738291,0.864815,1.308313,1.085439,0,-1.063407,0.402641
-1.122913,-0.20749,-0.082321,-0.093295,1,-0.84467,0.162107
-0.619833,-0.221285,0.254802,0.059504,0,-0.786675,-0.488258
1.102667,-0.516797,0.360153,0.38693,1,0.228292,-0.260541
-0.808018,-0.489514,1.729717,1.391037,0,-1.361777,-0.786019
-1.174454,0.537115,0.149451,0.059504,0,-1.255917,0.273879
-0.626671,0.008626,-0.96727,-1.141058,0,-0.92327,-0.260243
0.450492,-0.323978,2.677877,2.766227,1,0.538564,0.101601
0.948245,2.080891,0.254802,0.168646,1,1.352618,2.399934
1.723644,-0.636964,1.771857,2.198688,1,0.103729,-0.3282
1.472519,0.673835,1.371523,1.914919,1,2.684955,0.778791
-0.65333,-0.138517,-0.124462,0.299617,1,2.003588,0.312627
-0.426508,-0.068317,0.00196,-0.464378,0,-0.44003,-0.439972
-0.992608,-0.192469,0.170521,-0.027809,0,-0.926448,-0.417022
-0.911519,0.250186,-0.356234,-0.377064,0,-0.7392,0.051825
0.335699,-0.342984,0.739417,0.496072,0,-0.795734,-0.620894
-0.909195,-0.518943,-0.187672,-0.005981,0,-0.758846,-0.767539
-0.685768,-0.400922,0.254802,0.168646,0,-1.203565,-0.546677
-0.564364,-0.901515,-0.293023,-0.202437,1,0.593623,-0.580358
-0.602424,-0.083338,-1.093692,-1.293857,0,-0.357885,-0.339824
-0.759337,1.355905,-0.061251,-0.071466,1,-0.361765,1.527218
-0.860939,-0.110927,-0.398375,-0.551691,0,-1.415016,-0.301971
-0.338602,-0.076288,-0.440515,-0.267922,1,0.003109,0.113524
0.365873,0.364222,0.233732,0.234131,1,1.1179,0.447946
-0.685126,1.263327,0.907979,0.954469,1,0.333516,1.348978
0.196041,-1.093414,-0.208743,0.190475,1,0.829667,-0.796749
0.434047,0.148412,1.413664,1.565664,1,1.624812,0.503087
-0.762533,1.955819,-0.524796,-0.748147,1,1.12603,1.989507
1.022528,3.330687,-1.641517,-1.839567,1,0.471592,3.527492
-0.839843,-0.754372,-0.419445,-0.267922,1,1.197135,-0.304653
-0.113624,-0.326737,0.08624,-0.071466,0,-0.655813,-0.555917
1.30529,-0.304972,0.528715,0.976297,1,2.956498,0.000559
-0.726676,-0.456714,-2.041851,-1.905052,1,1.098704,-0.120751
-0.596483,0.394264,0.655136,0.452416,0,-0.741179,0.150185
-0.23085,-1.383102,0.318013,0.496072,1,0.154458,-1.0653
-0.833942,-0.146794,0.465504,0.343274,0,-1.27972,-0.392581
-0.2776,0.008013,-0.461585,-0.551691,0,-0.901383,-0.251897
1.743182,-0.803726,0.612996,0.823498,1,0.390581,-0.476037
-0.618675,0.563172,-0.440515,-0.377064,0,-0.447737,0.170155
-0.565607,-0.60263,-0.503726,-0.420721,0,-0.787983,-0.761876
-0.617187,0.034683,0.507645,0.212303,0,-1.211756,-0.431925
-0.21581,-0.2173,-0.398375,-0.682662,0,-1.074123,-0.325219
-0.668192,-0.252246,-0.040181,-0.15878,0,-0.695973,-0.498094
-0.520429,-1.568257,-1.199043,-1.075573,0,-0.527878,-1.453671
3.553643,0.928577,2.277542,2.17686,1,1.385431,1.275954
-0.25766,-0.781041,0.00196,-0.246093,0,-0.821364,-0.869177
-0.159642,0.178147,0.06517,0.190475,0,-0.355663,-0.046534
-0.3579,-0.781348,1.287242,0.867155,0,-0.434636,-0.91329
-0.338433,0.045105,1.329383,1.129096,0,-0.613265,-0.189006
1.450118,2.44415,0.971189,0.976297,1,1.054344,2.277432
-0.445488,0.896696,-1.578306,-1.228372,1,-0.367713,1.135568
-0.026374,-0.528752,-0.440515,-0.660833,0,-0.897297,-0.66292
-0.527253,0.076373,0.318013,0.190475,0,-0.860892,-0.260839
-0.474281,-0.278609,-0.96727,-1.162887,0,-1.264924,-0.54936
-0.812412,-1.337733,0.676206,0.583386,0,-1.056726,-1.42774
-0.374093,0.181519,-0.651217,-1.097401,0,-0.933044,-0.196458
0.316792,2.878529,0.570855,0.998126,1,1.085265,2.776979
-0.620032,-0.55297,1.98256,1.805777,0,-0.902123,-0.709119
-1.035112,-0.834074,1.434734,1.369209,0,-0.630496,-0.93177
-1.39448,-0.872393,-0.503726,-0.857289,0,-1.015522,-0.997044
0.235004,-1.141542,-0.693357,-1.097401,0,-0.095128,-1.20509
-0.309666,1.242175,-1.135832,-0.791804,1,1.168343,1.387428
0.331305,0.583404,1.139751,0.779842,0,-1.293249,-0.007786
-0.108626,0.404073,0.929049,0.779842,0,-1.169566,0.043182
0.711741,0.009239,-0.335164,0.037676,1,1.434975,0.380584
5.332788,2.207802,1.0344,1.325552,1,0.40374,2.008583
-0.464498,0.220757,0.655136,0.517901,0,-0.717311,-0.10555
-0.55236,-0.617038,0.08624,-0.28975,0,0.048813,-0.663516
-0.814036,0.682419,0.423364,0.190475,0,-0.898202,0.322761
-0.115901,0.431969,-0.229813,-0.377064,0,-0.901467,0.20622
-0.422492,0.053076,-1.283323,-1.424827,1,0.915933,0.331405
-0.453209,-0.432803,-0.609077,-0.617176,0,-0.208132,-0.688851
1.017013,-0.668845,3.773528,3.835819,0,-0.104843,-0.718657
-0.589137,-0.545919,0.381223,0.38693,0,-0.804514,-0.735349
0.717986,-0.123802,0.676206,0.758013,0,-0.767016,-0.351151
-0.422433,-0.290258,-0.588006,-0.639005,0,-0.965508,-0.505843
-0.282822,0.066564,1.771857,1.543836,0,-0.882088,-0.24981
-0.34643,-2.074981,0.634066,1.674806,1,0.598276,-1.656947
1.422463,1.926084,2.741087,2.416972,1,1.91441,2.179371
0.255619,-0.034597,0.865838,1.019954,1,0.456831,0.191317
-0.657753,-1.897796,1.202962,2.067718,1,0.448914,-1.464401
-1.140093,0.476725,-0.229813,0.299617,1,0.642607,0.711728
0.57072,3.768131,-2.9268,-2.930987,1,0.266317,3.551337
-0.430909,0.025486,0.149451,0.015847,0,-1.067032,-0.216726
1.030346,0.300767,0.655136,0.496072,0,-1.102247,0.051229
0.030632,-0.814455,0.697277,0.910812,1,0.13359,-0.53088
1.193142,2.285971,-0.145532,0.146818,1,1.070439,2.153142
-0.49216,-0.357086,1.07654,1.129096,0,-0.90399,-0.645037
-0.334247,-0.23416,0.549785,0.277788,0,-0.731941,-0.427454
-0.405814,-0.448743,-1.515096,-1.533969,0,-0.648204,-0.598838
0.547353,0.269192,-0.461585,-0.464378,0,-0.808907,-0.178872
-0.797234,1.60053,-0.082321,0.190475,1,0.774791,1.660152
-0.232505,2.80557,0.634066,0.954469,1,0.529876,3.073846
-0.074794,0.088329,0.0441,-0.15878,0,-1.360369,-0.294519
-0.149979,1.158794,-0.545866,-0.311579,1,2.090829,1.422003
-1.150755,-0.278609,-0.735498,-0.988259,0,-0.827276,-0.436395
0.170882,-0.24305,1.98256,1.391037,0,-1.444609,-0.488556
-0.220999,0.914476,1.455804,1.085439,0,-0.174333,0.583861
2.252786,0.701118,-1.388674,-1.468484,1,0.381261,0.869997
-0.225653,-0.00149,0.950119,0.496072,0,-0.068702,-0.255772
-0.090433,0.497877,0.486574,0.648871,1,-0.472594,1.038997
-1.361155,-0.042261,-1.346534,-1.577626,0,-0.906128,-0.2668
0.318458,-1.334361,-0.90406,-0.748147,1,0.84846,-1.015524
-0.554084,-1.352447,-1.91543,-1.970538,1,0.318873,-0.933856
-0.90519,-0.420847,-0.545866,-0.508034,0,-0.803092,-0.716273
-0.214326,0.000963,-0.356234,-0.442549,0,-0.672519,-0.271867
-0.84508,-0.27677,0.549785,0.474244,0,-0.709261,-0.516275
0.016715,-0.897223,-1.304394,-1.359342,1,0.397081,-0.575589
-0.616223,0.114385,0.00196,-0.136951,0,-0.928786,-0.157412
0.667184,0.256317,1.645436,1.958576,1,0.671653,0.315906
-0.007343,0.940532,-0.714428,-0.595348,1,-0.028985,1.092647
0.368815,1.206309,-0.672287,-0.726318,1,0.865547,1.664921
-0.559322,-0.135758,0.212662,0.037676,0,-0.861181,-0.353237
2.249799,0.168031,-0.98834,-1.075573,1,1.014514,0.277754
0.995399,-0.537336,0.381223,0.365102,1,1.083872,-0.760684
-0.877223,-0.427285,0.233732,-0.027809,0,-0.783808,-0.615827
-0.434711,-0.03613,0.06517,0.190475,0,-0.795794,-0.425963
0.675213,-0.407666,0.465504,0.779842,1,0.559179,-0.151749
-0.769945,-0.131466,1.624366,1.063611,0,-2.108609,-0.319854
0.941551,0.034376,0.823698,1.21641,1,0.7667,0.444369
-0.69126,-0.94811,-0.693357,-0.442549,1,0.448419,-0.630134
-1.005499,-0.254392,-0.166602,-0.355235,0,-1.375153,-0.551446
-0.541503,1.034336,2.087911,2.024061,0,-0.90252,0.855392
0.213769,-0.197987,-0.482655,-0.333407,1,1.020539,0.084612
-0.395015,-1.240863,-0.588006,-0.267922,1,0.484298,-0.946971
-0.106822,-0.993479,0.06517,0.234131,1,0.092784,-0.710014
-0.137805,-0.471121,0.612996,0.561558,0,-0.698144,-0.650998
0.449172,0.591987,-0.124462,0.190475,1,1.766297,0.878343
-0.603477,0.620803,0.570855,0.299617,0,-0.927852,0.03722
0.307395,0.074228,0.275872,0.496072,1,0.643566,0.122763
0.768361,-2.02348,-3.390345,-3.30207,1,1.513369,-1.596143
0.164753,0.377404,1.561155,1.827605,1,0.002516,0.558228
0.392619,0.89363,0.634066,0.736185,1,0.980467,1.495921
-0.599598,-0.506987,-0.798709,-0.748147,0,-1.336843,-0.566945
-1.003327,-0.372413,-0.672287,-0.900946,0,-0.696843,-0.448318
-0.70753,0.778981,-1.430815,-1.446656,1,-0.290153,1.109637
1.292187,4.442843,-0.672287,-0.551691,1,1.287402,4.174578
-0.373191,1.705063,0.465504,0.605214,1,-0.269868,1.837199
-0.268242,-0.458859,3.647106,3.39925,0,-1.020332,-0.741906
-0.177809,-1.235652,-1.051551,-0.791804,1,0.571834,-0.906733
1.35532,0.479484,-1.557236,-1.402999,1,1.929159,0.681922
0.600262,-1.46403,0.381223,0.692528,1,1.200653,-1.162467
1.600249,-0.142502,0.296943,0.38693,1,1.547609,0.174626
-0.430331,0.176615,-0.082321,-0.28975,0,-0.896173,-0.163373
0.619933,-0.360458,-1.135832,-0.813632,1,2.095683,-0.061139
0.038623,-0.453342,-1.620447,-1.66494,1,0.480668,-0.289452
0.756944,1.605435,-0.840849,-0.748147,1,0.403153,1.672372
0.17615,0.262448,0.781557,0.998126,1,0.767172,0.411285
-0.484341,0.05093,0.149451,0.081333,0,-0.458118,-0.157114
-0.475486,0.821592,1.181891,0.80167,0,-0.5978,0.511134
1.271611,0.328356,-1.135832,-1.206543,1,1.226715,0.324847
0.113227,-1.144301,0.107311,0.168646,0,-0.531776,-1.239068
0.432118,-0.86994,-0.356234,-0.005981,1,0.667438,-0.512699
0.832019,-0.134225,0.339083,0.190475,1,2.247015,0.314415
-0.302662,-0.609988,2.172191,2.242345,0,-0.916744,-0.834304
-0.397326,-0.230481,0.149451,0.059504,0,-0.945706,-0.436693
-1.142132,-0.322139,0.591925,0.25596,0,-0.609643,-0.420002
2.036482,1.25505,-0.90406,-0.617176,1,0.166175,1.236908
0.804333,0.479484,-2.442185,-2.669047,1,1.744043,0.674173
-0.086078,3.629571,-1.177972,-1.468484,1,0.315342,3.807965
-1.528462,0.053995,0.254802,-0.136951,0,-1.331546,-0.288558
-0.388339,0.813315,1.877208,2.329659,1,0.8742,1.191603
-1.201331,2.399394,-1.283323,-1.446656,1,-0.528659,2.354928
-0.904163,-0.853387,-1.199043,-0.857289,0,-0.731028,-1.000919
0.245062,0.299847,0.739417,0.430587,0,-1.035837,-0.042659
-0.850677,0.115918,0.233732,0.015847,0,-0.838568,-0.171421
-0.129443,-1.147366,-0.124462,0.081333,1,0.087466,-0.838775
-1.172778,0.278389,1.097611,0.583386,0,-1.331369,-0.187814
0.405989,-0.566764,0.08624,-0.202437,0,-0.49883,-0.847717
0.035902,-0.376091,1.224032,1.281895,0,-0.661582,-0.633114
2.155365,-1.114566,0.676206,1.063611,1,0.290749,-0.792576
-0.223491,-1.034863,0.739417,1.107268,1,0.367918,-0.711504
-0.569246,-0.36199,-0.103392,-0.28975,0,-0.782782,-0.57857
-0.813181,-0.325205,-1.241183,-1.424827,0,-0.915138,-0.624471
-0.329052,-0.100198,-0.061251,-0.180608,0,-0.989809,-0.345487
0.726049,3.242401,0.402294,0.539729,1,0.530093,2.895011
1.249119,-0.139436,-0.630147,-0.377064,1,-0.170061,0.095044
0.096042,0.617431,0.254802,0.212303,0,-0.601177,0.121869
-0.325265,-1.592781,0.612996,0.954469,1,0.672232,-1.284969
-0.624745,0.161287,0.528715,0.38693,0,-0.75048,-0.137442
-0.530599,0.96383,0.296943,0.168646,1,0.479091,1.250321
-0.728646,-0.281675,-0.124462,-0.246093,0,-0.932117,-0.512699
-0.935143,-1.009726,-1.030481,-1.206543,0,-0.411317,-1.161573
0.096347,-0.607229,1.245102,0.976297,0,-0.31851,-0.839371
-1.053755,-0.321219,0.444434,0.627043,0,-0.223285,-0.542206
0.258618,-0.781041,-0.819779,-0.267922,1,1.391978,-0.396157
1.758869,-0.701645,-0.061251,0.25596,1,3.487378,-0.405695
-0.057606,0.256624,0.08624,0.059504,0,-0.836549,-0.08558
-0.510903,-0.115526,0.275872,0.081333,0,-0.756062,-0.363073
-0.419214,-0.007008,0.128381,0.081333,0,-0.753995,-0.284683
0.018054,0.9905,-0.356234,-0.791804,0,-0.687458,0.383565
-0.708406,0.879529,-1.325464,-1.381171,1,0.264066,0.87268
0.598464,-0.696741,1.497945,1.849434,1,0.637279,-0.396455
-0.053296,-1.330682,0.697277,0.954469,1,1.575228,-1.063214
-0.294789,-0.572589,0.254802,0.168646,0,-0.557003,-0.792278
-0.298089,-0.022029,1.202962,1.129096,0,-1.071461,-0.339228
0.014128,0.274097,0.318013,0.124989,0,-0.644664,0.042585
0.119061,1.844236,-0.777638,-0.617176,1,0.556318,1.871476
-1.148055,-0.187871,-1.199043,-1.446656,0,-0.893724,-0.373207
2.341051,-0.143422,0.929049,1.260067,1,2.520406,0.12485
-0.660207,-0.692756,-0.440515,-0.617176,0,-1.508357,-0.858149
-0.042306,-0.252553,0.823698,0.517901,0,-0.750572,-0.480806
0.228892,0.092007,-1.451885,-1.468484,1,1.350077,0.375517
-0.286964,-0.885574,0.381223,0.517901,0,-1.025348,-1.006284
-0.013947,-0.528752,-0.019111,-0.15878,0,-0.736194,-0.687659
-0.170722,-1.388006,0.591925,0.954469,1,1.68559,-1.129383
1.406547,-0.625622,1.181891,1.543836,1,0.755051,-0.305249
-1.063766,0.93716,-0.124462,-0.049638,1,0.102963,1.284896
0.198399,-0.858291,-1.97864,-1.926881,1,0.556559,-0.555023
-0.273348,-0.194309,0.254802,0.168646,0,-0.686869,-0.415233
0.124426,-1.4907,0.591925,0.954469,1,0.59263,-1.170813
0.942045,-0.676815,-0.187672,-0.136951,1,0.762578,-0.361583
-0.751075,1.279574,-0.798709,-0.813632,1,0.732645,1.443165
1.794403,-0.798821,1.666506,2.220516,1,0.420962,-0.445635
-0.285402,0.897922,1.245102,0.888984,0,-0.671794,0.534979
0.342899,2.285052,-0.145532,0.015847,1,1.023951,2.519456
-0.362014,1.234818,-0.293023,-0.224265,1,0.12144,1.440482
-0.300597,-0.613666,1.519015,1.434694,0,-0.993372,-0.734454
-0.922576,-1.19764,1.561155,1.434694,0,-0.429024,-1.220589
-0.356903,-0.213314,0.360153,0.234131,0,-0.698509,-0.500776
-0.61922,0.592907,-0.271953,-0.224265,1,0.618547,0.801146
1.503448,-1.132652,-0.166602,0.037676,1,0.706059,-0.820295
-0.207244,0.17171,-0.124462,-0.398892,0,-0.642086,-0.138932
-1.237256,-1.056935,0.402294,0.452416,0,-0.904159,-1.110605
-0.525759,2.289957,-0.293023,-0.136951,1,-0.058806,2.092039
1.698698,2.976317,0.950119,1.129096,1,0.623437,3.14389
-0.978554,0.097832,-0.082321,-0.224265,0,-0.659397,0.010991
0.256635,-0.226803,0.823698,0.80167,0,-1.13532,-0.570522
0.18437,-0.22619,1.329383,1.76212,1,1.328795,0.148098
0.09053,-0.10449,-0.335164,-0.049638,1,0.879639,0.286398
-1.64736,-0.330722,-0.714428,-0.900946,0,-1.559451,-0.727003
-0.568373,0.165579,1.497945,1.412865,1,0.913835,0.637809
1.431312,-0.476946,-0.651217,-0.529863,1,2.550568,-0.122539
-0.284014,0.524547,0.697277,0.714356,0,-0.752764,0.263745
-0.814122,0.908651,-1.89436,-1.730425,1,1.0461,1.260157
0.144372,-1.125295,0.339083,0.648871,1,1.248934,-0.794364
0.250925,0.452508,-0.208743,0.146818,1,0.320218,0.685499
-1.34456,-0.020802,0.02303,-0.224265,0,0.117021,-0.327902
-0.260457,-0.028159,-0.798709,-1.010088,0,-0.714369,-0.191689
-0.613824,-0.173463,-0.335164,-0.595348,0,-0.748328,-0.426559
0.511576,4.314093,0.381223,0.539729,1,0.021945,4.303041
2.246686,0.79155,-1.620447,-1.337514,1,1.187001,1.04615
-0.667957,0.030085,1.160821,0.758013,0,-0.905637,-0.212255
-0.382804,-0.781348,-0.356234,-0.15878,1,0.435745,-0.528198
0.349999,3.521973,0.212662,0.6707,1,1.119606,3.740604
-0.301451,-0.343904,-1.451885,-1.512141,1,0.240306,-0.102569
-0.230717,2.462543,1.07654,1.369209,1,0.692666,2.508726
1.859289,-0.243356,0.339083,0.605214,0,-1.82714,-0.473653
0.23434,-0.362603,-0.651217,-0.682662,1,1.409276,-0.110915
-1.152574,-0.776137,-0.9462,-0.726318,0,-0.501255,-0.96694
0.912387,-0.839286,0.170521,0.234131,1,1.071409,-0.634605
-0.213686,-1.049884,0.00196,0.25596,1,0.425971,-0.674843
-0.644483,-0.327044,0.06517,-0.027809,0,-0.772413,-0.536841
-0.622073,-0.788705,0.254802,0.081333,0,-1.279992,-0.963364
-0.403058,0.443311,0.971189,0.692528,0,-0.689993,0.091765
-0.652637,-0.063413,0.844768,0.758013,0,-0.943244,-0.348766
1.433973,-0.786253,0.781557,0.976297,1,1.24128,-0.548466
-0.156669,-0.212088,-0.040181,-0.28975,0,-0.475536,-0.438184
-0.274019,-0.973247,-1.873289,-1.599455,1,1.509501,-0.582146
0.935538,0.867267,0.718347,0.80167,1,0.833204,1.13527
-0.411174,0.131552,3.141421,2.700741,0,-0.996916,-0.09482
-0.304553,0.128487,-0.798709,-0.988259,0,-0.881014,-0.205102
-0.262815,-0.461925,0.802628,0.758013,0,-0.981317,-0.646825
-0.05886,-1.302173,0.360153,0.736185,1,0.789344,-0.950547
0.001017,-0.852467,0.149451,0.168646,1,0.279109,-0.569926
-0.465025,-0.511279,1.582225,1.172753,0,-0.929983,-0.672458
-0.348912,-0.118898,-0.693357,-0.813632,0,-0.70949,-0.335055
-0.458841,-0.508827,0.00196,-0.15878,0,-0.713063,-0.714783
1.258205,0.240683,2.04577,1.740292,0,-0.794992,-0.154432
-0.312724,-0.167026,0.402294,0.190475,0,-0.821663,-0.535947
-0.478182,-0.868101,1.898279,2.067718,1,0.999794,-0.577079
-0.501279,0.315481,-0.356234,-0.115123,1,-0.155894,0.503385
0.250274,-0.263282,-0.398375,-0.70449,0,-0.734285,-0.601818
-0.550743,1.425798,-1.536166,-1.272029,1,0.549679,1.670286
-0.404125,-0.145874,-0.798709,-0.988259,0,-0.325999,-0.318662
-0.592618,0.383841,0.128381,-0.15878,0,-1.286094,0.191615
-0.365747,0.868493,-2.020781,-1.883224,1,1.651265,1.008595
1.113274,1.387479,1.392594,1.543836,1,1.77303,1.595175
-0.781339,-1.47292,0.0441,0.627043,1,0.475264,-1.116268
-1.007506,1.228381,0.0441,-0.027809,1,0.008002,1.438098
-0.120109,-0.522621,-1.873289,-1.905052,1,0.622929,-0.271271
0.033457,-0.184192,0.402294,0.365102,0,-0.336637,-0.413147
-0.289656,-0.140356,0.107311,-0.180608,0,-0.630053,-0.289154
-0.398069,-0.717586,0.697277,0.430587,0,-0.570604,-0.875436
-0.727931,-0.136371,0.381223,0.212303,0,-1.245911,-0.467394
0.711848,-0.348502,1.139751,1.281895,1,0.518006,-0.084984
3.924714,-0.194002,0.971189,0.910812,0,-0.101337,-0.580358
-1.279196,2.147412,-0.082321,0.343274,1,-0.282567,2.350159
-0.895791,-1.637843,-0.609077,-0.224265,1,0.399634,-1.301661
1.677203,2.611525,3.288913,3.617534,1,3.378175,2.579366
-1.056474,-0.863196,-0.96727,-1.533969,0,-1.058071,-0.910309
0.227669,-0.294856,0.212662,0.037676,0,-0.411729,-0.510612
-0.075871,-0.375172,0.697277,0.430587,0,-0.763867,-0.434011
-1.025787,-0.765101,-0.798709,-0.813632,1,-0.457545,-0.491238
-0.542891,-0.590062,-0.882989,-1.315685,0,-0.890363,-0.759789
-0.858916,-0.554196,-0.293023,-0.486206,0,-0.979394,-0.755319
0.203799,-1.527792,-0.545866,-0.202437,1,1.913964,-1.22804
0.301628,-0.090389,-0.503726,-0.529863,0,-0.690619,-0.349362
-0.43499,0.156995,0.718347,0.496072,0,-1.156487,-0.322835
-0.406311,2.074147,1.771857,1.76212,1,0.712833,2.390397
-0.290006,-0.517104,0.655136,0.38693,0,-1.003882,-0.712994
-1.29847,0.584017,1.05547,0.6707,0,-0.776554,0.354355
-1.070693,-0.35494,0.402294,0.605214,1,0.853625,-0.356814
-0.627956,-0.740271,-0.419445,-0.486206,0,-0.962513,-0.859937
0.07417,0.008933,1.266172,1.281895,0,-0.951061,-0.264713
-0.209836,0.093847,0.00196,0.015847,0,-0.311652,-0.131183
0.220677,-0.830396,-0.714428,-0.617176,1,1.316846,-0.572906
